centrality	0	100 4.0 0.5
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
19	18	20	1.70E-11	6.10E-12	-6.10E-12	2.31E-12	-2.31E-12
21	20	22	8.11E-12	3.68E-12	-3.68E-12	1.15E-12	-1.15E-12
23.5	22	25	0	0	0	0	0
							
centrality	60	72  2.7 0.1
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.01002	4.52E-05	-4.52E-05	0.0009017	-0.0009017
1.75	1.5	2	0.001549	1.02E-05	-1.02E-05	0.0001441	-0.0001441
2.25	2	2.5	0.0003497	3.72E-06	-3.72E-06	3.29E-05	-3.29E-05
2.75	2.5	3	9.14E-05	1.59E-06	-1.59E-06	8.69E-06	-8.69E-06
3.25	3	3.5	2.89E-05	7.83E-07	-7.83E-07	2.78E-06	-2.78E-06
3.75	3.5	4	9.76E-06	3.93E-07	-3.93E-07	9.37E-07	-9.37E-07
4.25	4	4.5	3.62E-06	2.37E-07	-2.37E-07	3.51E-07	-3.51E-07
4.75	4.5	5	1.46E-06	1.49E-07	-1.49E-07	1.41E-07	-1.41E-07
5.25	5	5.5	6.65E-07	9.41E-08	-9.41E-08	6.51E-08	-6.51E-08
5.75	5.5	6	3.20E-07	3.97E-09	-3.97E-09	3.14E-08	-3.14E-08
6.25	6	6.5	1.63E-07	2.65E-09	-2.65E-09	1.62E-08	-1.62E-08
6.75	6.5	7	8.54E-08	1.83E-09	-1.83E-09	8.46E-09	-8.46E-09
7.25	7	7.5	5.05E-08	1.35E-09	-1.35E-09	5.00E-09	-5.00E-09
7.75	7.5	8	3.02E-08	9.71E-10	-9.71E-10	2.99E-09	-2.99E-09
8.25	8	8.5	1.84E-08	7.67E-10	-7.67E-10	1.82E-09	-1.82E-09
8.75	8.5	9	1.12E-08	5.64E-10	-5.64E-10	1.10E-09	-1.10E-09
9.25	9	9.5	6.90E-09	4.20E-10	-4.20E-10	6.83E-10	-6.83E-10
9.75	9.5	10	4.51E-09	3.40E-10	-3.40E-10	4.47E-10	-4.47E-10
11	10	12	1.76E-09	9.45E-11	-9.45E-11	1.74E-10	-1.74E-10
13	12	14	4.77E-10	3.03E-11	-3.03E-11	4.90E-11	-4.90E-11
15	14	16	1.59E-10	1.70E-11	-1.70E-11	1.80E-11	-1.80E-11
17	16	18	4.31E-11	8.58E-12	-8.58E-12	5.32E-12	-5.32E-12
19	18	20	0	0	0	0	0
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
