0.95	0.9	1	0.0299	0	0	0.0025	-0.0025
1.05	1	1.1	0.0207	0	0	0.002	-0.002
1.15	1.1	1.2	0.0164	0	0	0.0017	-0.0017
1.25	1.2	1.3	0.00794	0	0	0.0011	-0.0011
1.35	1.3	1.4	0.00653	0	0	0.00099	-0.00099
1.45	1.4	1.5	0.0057	0	0	0.00092	-0.00092
1.55	1.5	1.6	0.00284	0	0	0.00064	-0.00064
1.65	1.6	1.7	0.00267	0	0	0.00061	-0.00061
1.75	1.7	1.8	0.00185	0	0	0.0005	-0.0005
1.85	1.8	1.9	0.00209	0	0	0.00052	-0.00052
1.95	1.9	2	0.00116	0	0	0.00039	-0.00039
