centrality	0	10  623.9   32.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
19	18	20	1.22E-09	2.01E-10	-2.01E-10	4.98E-10	-4.98E-10
							
centrality	0	5   0   0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
5.25	5	5.5	9.39E-05	8.68E-07	-8.68E-07	8.26E-06	-8.26E-06
5.75	5.5	6	4.52E-05	5.17E-07	-5.17E-07	3.98E-06	-3.98E-06
6.25	6	6.5	2.27E-05	3.25E-07	-3.25E-07	2.00E-06	-2.00E-06
6.75	6.5	7	1.25E-05	2.17E-07	-2.17E-07	1.10E-06	-1.10E-06
7.25	7	7.5	6.86E-06	1.47E-07	-1.47E-07	6.03E-07	-6.03E-07
7.75	7.5	8	4.16E-06	1.06E-07	-1.06E-07	3.66E-07	-3.66E-07
8.25	8	8.5	2.60E-06	7.82E-08	-7.82E-08	1.95E-07	-1.95E-07
8.75	8.5	9	1.54E-06	5.75E-08	-5.75E-08	1.16E-07	-1.16E-07
9.25	9	9.5	1.12E-06	4.47E-08	-4.47E-08	8.46E-08	-8.46E-08
9.75	9.5	10	7.68E-07	3.54E-08	-3.54E-08	6.21E-08	-6.21E-08
11	10	12	2.84E-07	9.60E-09	-9.60E-09	3.11E-08	-3.11E-08
13	12	14	8.68E-08	4.94E-09	-4.94E-09	1.53E-08	-1.53E-08
15	14	16	2.66E-08	3.04E-09	-3.04E-09	6.69E-09	-6.69E-09
17	16	18	9.55E-09	1.95E-09	-1.95E-09	3.14E-09	-3.14E-09
19	18	20	4.45E-09	1.68E-09	-1.68E-09	1.81E-09	-1.81E-09
